num_pkt numCount threshold time x_covInt y_cofInt no_hhh acc_Error covError exact_HHH
1000000 100 1000 0.062407 0.061622 0.063192 43 1 0 35
2000000 100 1000 0.122898 0.119713 0.126082 40 1 0 33
4000000 100 1000 0.277399 0.244909 0.309888 39 1 0 33
8000000 100 1000 0.508361 0.4709 0.545822 35 1 0 33
16000000 100 1000 1.068341 1.011215 1.125468 35 1 0 33
32000000 100 1000 1.97384 1.899307 2.048373 36 0 0 33
1000000 100 1000 0.060991 0.059867 0.062115 43 1 0 35
2000000 100 1000 0.122788 0.120812 0.124764 40 1 0 33
4000000 100 1000 0.246518 0.23899 0.254046 39 1 0 33
8000000 100 1000 0.484057 0.480581 0.487534 35 1 0 33
16000000 100 1000 0.955111 0.947831 0.962391 35 1 0 33
32000000 100 1000 2.435173 2.03489 2.835457 36 0 0 33
1000000 100 1000 0.099229 0.087792 0.110665 43 1 0 35
2000000 100 1000 0.124893 0.117353 0.132432 40 1 0 33
4000000 100 1000 0.260817 0.227966 0.293668 39 1 0 33
8000000 100 1000 0.510589 0.479735 0.541443 35 1 0 33
16000000 100 1000 1.084575 0.976914 1.192236 35 1 0 33
32000000 100 1000 1.888929 1.866879 1.910978 36 0 0 33
1000000 100 1000 0.06276 0.06086 0.06466 43 1 0 35
2000000 100 1000 0.12425 0.119955 0.128545 40 1 0 33
4000000 100 1000 0.245856 0.240253 0.251459 39 1 0 33
8000000 100 1000 0.479996 0.47582 0.484171 35 1 0 33
16000000 100 1000 0.953655 0.949033 0.958277 35 1 0 33
32000000 100 1000 1.885394 1.858568 1.91222 36 0 0 33
1000000 100 1000 0.077376 0.056284 0.098467 43 1 0 35
2000000 100 1000 0.131806 0.12149 0.142122 40 1 0 33
4000000 100 1000 0.261232 0.235919 0.286545 39 1 0 33
8000000 100 1000 0.724131 0.644963 0.803299 35 1 0 33
16000000 100 1000 1.04051 1.00263 1.07839 35 1 0 33
32000000 100 1000 1.919874 1.858995 1.980753 36 0 0 33
