num_pkt numCount threshold time x_covInt y_cofInt no_hhh acc_Error covError exact_HHH
1000000 1000 10 0.02641 0.025834 0.026986 4 2 0 3
2000000 1000 10 0.032644 0.032435 0.032853 3 2 0 3
4000000 1000 10 0.066039 0.065405 0.066673 3 3 0 3
8000000 1000 10 0.131768 0.128998 0.134538 3 2 0 3
16000000 1000 10 0.260769 0.25854 0.262999 3 2 0 3
32000000 1000 10 0.540687 0.523227 0.558146 3 2 0 3
1000000 1000 10 0.01635 0.016019 0.016682 4 2 0 3
2000000 1000 10 0.033253 0.032587 0.03392 3 2 0 3
4000000 1000 10 0.072016 0.065047 0.078986 3 3 0 3
8000000 1000 10 0.132288 0.130272 0.134303 3 2 0 3
16000000 1000 10 0.262224 0.26057 0.263877 3 2 0 3
32000000 1000 10 0.527142 0.51677 0.537513 3 2 0 3
1000000 1000 10 0.026474 0.025953 0.026996 4 2 0 3
2000000 1000 10 0.03307 0.03267 0.033471 3 2 0 3
4000000 1000 10 0.067262 0.065756 0.068768 3 3 0 3
8000000 1000 10 0.142281 0.130698 0.153865 3 2 0 3
16000000 1000 10 0.262422 0.259424 0.26542 3 2 0 3
32000000 1000 10 0.520495 0.515619 0.525372 3 2 0 3
1000000 1000 10 0.017349 0.015842 0.018855 4 2 0 3
2000000 1000 10 0.038257 0.035967 0.040548 3 2 0 3
4000000 1000 10 0.066391 0.065883 0.066898 3 3 0 3
8000000 1000 10 0.136242 0.127519 0.144965 3 2 0 3
16000000 1000 10 0.272394 0.26857 0.276219 3 2 0 3
32000000 1000 10 0.55164 0.527813 0.575467 3 2 0 3
1000000 1000 10 0.016485 0.016367 0.016602 4 2 0 3
2000000 1000 10 0.032874 0.032747 0.033 3 2 0 3
4000000 1000 10 0.095557 0.092799 0.098315 3 3 0 3
8000000 1000 10 0.133301 0.13062 0.135983 3 2 0 3
16000000 1000 10 0.260847 0.259148 0.262547 3 2 0 3
32000000 1000 10 0.536932 0.532518 0.541346 3 2 0 3
1000000 1000 10 0.017688 0.017584 0.017792 4 2 0 3
2000000 1000 10 0.05371 0.053461 0.053959 3 2 0 3
4000000 1000 10 0.118436 0.11031 0.126563 3 3 0 3
8000000 1000 10 0.134434 0.132209 0.13666 3 2 0 3
16000000 1000 10 0.268809 0.263013 0.274606 3 2 0 3
32000000 1000 10 0.539423 0.465367 0.613479 3 2 0 3
1000000 1000 10 0.016019 0.015955 0.016082 4 2 0 3
2000000 1000 10 0.033766 0.032511 0.035022 3 2 0 3
4000000 1000 10 0.065189 0.064603 0.065775 3 3 0 3
8000000 1000 10 0.128467 0.127113 0.129821 3 2 0 3
16000000 1000 10 0.308777 0.246523 0.371031 3 2 0 3
32000000 1000 10 0.559643 0.556545 0.562741 3 2 0 3
1000000 1000 10 0.016612 0.015747 0.017476 4 2 0 3
2000000 1000 10 0.03218 0.032081 0.03228 3 2 0 3
4000000 1000 10 0.064918 0.063889 0.065947 3 3 0 3
8000000 1000 10 0.14477 0.132296 0.157243 3 2 0 3
16000000 1000 10 0.297467 0.240075 0.35486 3 2 0 3
32000000 1000 10 0.567585 0.507217 0.627953 3 2 0 3
1000000 1000 10 0.017385 0.016492 0.018277 4 2 0 3
2000000 1000 10 0.035175 0.035062 0.035288 3 2 0 3
4000000 1000 10 0.067311 0.064527 0.070095 3 3 0 3
8000000 1000 10 0.142056 0.131357 0.152755 3 2 0 3
16000000 1000 10 0.266667 0.254782 0.278551 3 2 0 3
32000000 1000 10 0.633201 0.516394 0.750009 3 2 0 3
1000000 1000 10 0.017016 0.015477 0.018554 4 2 0 3
2000000 1000 10 0.033019 0.032133 0.033905 3 2 0 3
4000000 1000 10 0.064278 0.063649 0.064907 3 3 0 3
8000000 1000 10 0.142507 0.132416 0.152598 3 2 0 3
16000000 1000 10 0.287359 0.264814 0.309905 3 2 0 3
32000000 1000 10 0.780647 0.68798 0.873313 3 2 0 3
