num_pkt numCount threhold time x_cofInt y_cofInt no_hhh acc_Error covError exact_HHH
1000000 1000 100 0.016199 0.015242 0.017156 46 13 0 35
2000000 1000 100 0.032921 0.031889 0.033953 42 6 0 33
4000000 1000 100 0.064445 0.063092 0.065799 41 3 0 33
8000000 1000 100 0.128962 0.126977 0.130947 36 2 0 33
16000000 1000 100 0.263221 0.247367 0.279075 36 2 0 33
32000000 1000 100 0.509697 0.507543 0.51185 35 2 0 33
1000000 1000 100 0.015938 0.015793 0.016084 46 13 0 35
2000000 1000 100 0.0323 0.03163 0.03297 42 6 0 33
4000000 1000 100 0.06551 0.06395 0.06707 41 3 0 33
8000000 1000 100 0.128391 0.126333 0.130448 36 2 0 33
16000000 1000 100 0.255848 0.253879 0.257817 36 2 0 33
32000000 1000 100 0.507471 0.50601 0.508931 35 2 0 33
1000000 1000 100 0.015914 0.015787 0.01604 46 13 0 35
2000000 1000 100 0.032138 0.031961 0.032315 42 6 0 33
4000000 1000 100 0.064149 0.063717 0.064581 41 3 0 33
8000000 1000 100 0.129523 0.125263 0.133782 36 2 0 33
16000000 1000 100 0.255854 0.252731 0.258978 36 2 0 33
32000000 1000 100 0.507734 0.505959 0.509509 35 2 0 33
1000000 1000 100 0.015997 0.015941 0.016052 46 13 0 35
2000000 1000 100 0.032804 0.032464 0.033145 42 6 0 33
4000000 1000 100 0.063982 0.063783 0.064181 41 3 0 33
8000000 1000 100 0.129117 0.127282 0.130952 36 2 0 33
16000000 1000 100 0.25472 0.254073 0.255366 36 2 0 33
32000000 1000 100 0.508199 0.505248 0.51115 35 2 0 33
1000000 1000 100 0.015929 0.015804 0.016054 46 13 0 35
2000000 1000 100 0.032196 0.03201 0.032382 42 6 0 33
4000000 1000 100 0.0646 0.06387 0.065329 41 3 0 33
8000000 1000 100 0.128107 0.127074 0.12914 36 2 0 33
16000000 1000 100 0.25452 0.253977 0.255063 36 2 0 33
32000000 1000 100 0.508612 0.501938 0.515286 35 2 0 33
1000000 1000 100 0.023273 0.021026 0.02552 46 13 0 35
2000000 1000 100 0.043179 0.032158 0.054199 42 6 0 33
4000000 1000 100 0.065269 0.064205 0.066333 41 3 0 33
8000000 1000 100 0.129611 0.128849 0.130374 36 2 0 33
16000000 1000 100 0.373546 0.289555 0.457537 36 2 0 33
32000000 1000 100 0.510157 0.507498 0.512816 35 2 0 33
1000000 1000 100 0.019175 0.018603 0.019747 46 13 0 35
2000000 1000 100 0.036872 0.036486 0.037258 42 6 0 33
4000000 1000 100 0.074 0.072626 0.075374 41 3 0 33
8000000 1000 100 0.145056 0.142466 0.147647 36 2 0 33
16000000 1000 100 0.419768 0.303968 0.535568 36 2 0 33
32000000 1000 100 0.594439 0.58212 0.606758 35 2 0 33
1000000 1000 100 0.018013 0.017454 0.018572 46 13 0 35
2000000 1000 100 0.035567 0.034297 0.036837 42 6 0 33
4000000 1000 100 0.078112 0.073722 0.082503 41 3 0 33
8000000 1000 100 0.148322 0.145578 0.151066 36 2 0 33
16000000 1000 100 0.290584 0.284703 0.296465 36 2 0 33
32000000 1000 100 0.681195 0.574768 0.787623 35 2 0 33
1000000 1000 100 0.017708 0.017244 0.018172 46 13 0 35
2000000 1000 100 0.035776 0.034592 0.036959 42 6 0 33
4000000 1000 100 0.070632 0.069827 0.071437 41 3 0 33
8000000 1000 100 0.140462 0.137454 0.14347 36 2 0 33
16000000 1000 100 0.280685 0.274635 0.286735 36 2 0 33
32000000 1000 100 0.586911 0.563398 0.610423 35 2 0 33
1000000 1000 100 0.016163 0.015876 0.01645 46 13 0 35
2000000 1000 100 0.03243 0.031699 0.033161 42 6 0 33
4000000 1000 100 0.06607 0.06349 0.06865 41 3 0 33
8000000 1000 100 0.134967 0.125349 0.144585 36 2 0 33
16000000 1000 100 0.25975 0.254799 0.264702 36 2 0 33
32000000 1000 100 0.57166 0.519135 0.624186 35 2 0 33
